math,eng,chinese,type,avg
38,26,13,,
30,49,81,,
11,43,97,,
99,38,86,,
6,68,16,,
36,7,72,,
93,49,60,,
44,28,14,,
59,23,1,,
70,10,61,,
34,93,19,,
9,74,39,,
82,80,62,,
38,67,23,,
18,96,11,,
48,57,25,,
77,54,77,,
13,23,78,,
88,27,81,,
50,58,76,,
98,22,98,,
85,34,88,,
78,32,78,,
30,69,72,,
30,74,97,,
30,41,69,,
11,45,100,,
92,31,14,,
56,86,95,,
15,8,87,,
56,70,88,,
8,62,49,,
44,7,99,,
7,54,15,,
27,95,51,,
42,36,37,,
50,39,80,,
32,74,5,,
90,51,7,,
74,39,44,,
80,24,73,,
5,14,42,,
46,12,86,,
42,84,8,,
15,83,80,,
94,57,27,,
24,47,78,,
96,91,76,,
15,15,36,,
47,49,45,,
44,99,16,,
54,78,85,,
21,70,24,,
58,78,96,,
61,19,57,,
1,75,79,,
38,57,84,,
71,80,30,,
92,75,22,,
70,76,21,,
0,32,24,,
80,22,57,,
46,33,18,,
12,27,23,,
94,17,78,,
81,79,6,,
18,4,49,,
40,34,90,,
71,14,38,,
92,61,74,,
0,48,44,,
25,86,63,,
89,16,15,,
95,31,81,,
63,66,10,,
85,2,13,,
77,11,26,,
35,59,16,,
9,59,79,,
51,98,21,,
90,67,47,,
68,54,81,,
77,42,92,,
70,78,0,,
49,32,48,,
37,78,99,,
86,84,12,,
51,0,66,,
30,14,29,,
53,45,13,,
95,91,30,,
10,54,78,,
57,48,88,,
11,71,65,,
40,29,66,,
63,98,41,,
42,72,42,,
17,14,75,,
47,18,32,,
9,30,23,,
82,72,92,,
65,86,84,,
69,24,48,,
2,85,49,,
14,99,41,,
36,33,73,,
19,60,17,,
81,36,74,,
92,88,36,,
31,70,74,,
9,31,21,,
67,51,8,,
3,7,46,,
14,36,31,,
100,97,86,,
42,82,99,,
22,82,61,,
90,67,41,,
70,31,99,,
99,61,17,,
87,26,80,,
92,1,59,,
94,91,49,,
83,85,99,,
37,40,39,,
61,23,3,,
16,99,3,,
88,95,59,,
22,70,14,,
79,56,77,,
74,36,83,,
34,45,95,,
15,78,56,,
93,63,43,,
19,6,93,,
43,100,3,,
10,36,74,,
92,76,10,,
3,7,41,,
